Model,Battery,Source bank,Assigned vendor,Region,Families,Planned responses,Yes,No,Unknown,Rate bounds (%),95% envelope (%)
nameswap_original_s2,diagnostics_original,S,S,named_not_live,24,96,5,83,8,"[+5.21, +13.54]","[+1.04, +22.92]"
nameswap_original_s2,diagnostics_original,S,S,named_wrong_direction,24,96,16,80,0,"[+16.67, +16.67]","[+5.21, +30.21]"
nameswap_original_s2,diagnostics_original,S,S,positive,24,96,44,30,22,"[+45.83, +68.75]","[+31.25, +81.25]"
nameswap_original_s2,diagnostics_original,S,S,rival_leaning,24,96,0,95,1,"[+0.00, +1.04]","[+0.00, +3.12]"
nameswap_original_s3,diagnostics_original,M,M,named_no_authority,50,200,29,139,32,"[+14.50, +30.50]","[+9.00, +37.50]"
nameswap_original_s3,diagnostics_original,M,M,named_not_live,50,200,13,153,34,"[+6.50, +23.50]","[+3.00, +31.50]"
nameswap_original_s3,diagnostics_original,M,M,named_wrong_direction,50,200,14,177,9,"[+7.00, +11.50]","[+3.00, +18.00]"
nameswap_original_s3,diagnostics_original,M,M,positive,50,200,132,41,27,"[+66.00, +79.50]","[+56.00, +86.50]"
nameswap_original_s3,diagnostics_original,M,M,rival_leaning,50,200,1,199,0,"[+0.50, +0.50]","[+0.00, +1.50]"
nameswap_original_s3,diagnostics_original,S,S,named_no_authority,24,96,10,63,23,"[+10.42, +34.38]","[+4.17, +47.92]"
nameswap_original_s3,diagnostics_original,S,S,named_not_live,24,96,3,85,8,"[+3.12, +11.46]","[+0.00, +19.79]"
nameswap_original_s3,diagnostics_original,S,S,named_wrong_direction,24,96,17,73,6,"[+17.71, +23.96]","[+7.29, +36.46]"
nameswap_original_s3,diagnostics_original,S,S,positive,24,96,46,32,18,"[+47.92, +66.67]","[+34.38, +77.08]"
nameswap_original_s3,diagnostics_original,S,S,rival_leaning,24,96,1,95,0,"[+1.04, +1.04]","[+0.00, +3.12]"
nameswap_original_s4,diagnostics_original,M,M,named_no_authority,50,200,27,127,46,"[+13.50, +36.50]","[+8.50, +44.00]"
nameswap_original_s4,diagnostics_original,M,M,named_not_live,50,200,11,156,33,"[+5.50, +22.00]","[+2.50, +28.50]"
nameswap_original_s4,diagnostics_original,M,M,named_wrong_direction,50,200,15,177,8,"[+7.50, +11.50]","[+3.00, +18.00]"
nameswap_original_s4,diagnostics_original,M,M,positive,50,200,125,53,22,"[+62.50, +73.50]","[+52.00, +81.50]"
nameswap_original_s4,diagnostics_original,M,M,rival_leaning,50,200,0,200,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_original_s4,diagnostics_original,S,S,named_no_authority,24,96,6,59,31,"[+6.25, +38.54]","[+2.08, +48.96]"
nameswap_original_s4,diagnostics_original,S,S,named_not_live,24,96,3,80,13,"[+3.12, +16.67]","[+0.00, +28.12]"
nameswap_original_s4,diagnostics_original,S,S,named_wrong_direction,24,96,15,80,1,"[+15.62, +16.67]","[+6.25, +29.17]"
nameswap_original_s4,diagnostics_original,S,S,positive,24,96,54,28,14,"[+56.25, +70.83]","[+41.67, +81.25]"
nameswap_original_s4,diagnostics_original,S,S,rival_leaning,24,96,0,96,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_original_s5,diagnostics_original,M,M,named_no_authority,50,200,27,119,54,"[+13.50, +40.50]","[+8.00, +49.50]"
nameswap_original_s5,diagnostics_original,M,M,named_not_live,50,200,4,162,34,"[+2.00, +19.00]","[+0.50, +25.50]"
nameswap_original_s5,diagnostics_original,M,M,named_wrong_direction,50,200,15,171,14,"[+7.50, +14.50]","[+3.00, +22.00]"
nameswap_original_s5,diagnostics_original,M,M,positive,50,200,131,42,27,"[+65.50, +79.00]","[+56.50, +85.50]"
nameswap_original_s5,diagnostics_original,M,M,rival_leaning,50,200,0,200,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_original_s5,diagnostics_original,S,S,named_no_authority,24,96,12,65,19,"[+12.50, +32.29]","[+4.17, +45.83]"
nameswap_original_s5,diagnostics_original,S,S,named_not_live,24,96,3,84,9,"[+3.12, +12.50]","[+0.00, +20.83]"
nameswap_original_s5,diagnostics_original,S,S,named_wrong_direction,24,96,17,74,5,"[+17.71, +22.92]","[+6.25, +37.50]"
nameswap_original_s5,diagnostics_original,S,S,positive,24,96,49,25,22,"[+51.04, +73.96]","[+34.38, +85.42]"
nameswap_original_s5,diagnostics_original,S,S,rival_leaning,24,96,0,95,1,"[+0.00, +1.04]","[+0.00, +3.12]"
